accelerator,dtype,B,D,F,separate_mean_us,separate_std_us,separate_runs,fused_mean_us,fused_std_us,fused_runs,speedup
NVIDIA A100-SXM4-80GB,float16,1,4096,14336,164.68723757134285,2.0014541851513066,7,150.27010885712244,0.10360109845828001,7,1.0959414272330652
NVIDIA A100-SXM4-80GB,float16,32,4096,14336,162.25759314290502,0.06994486781209831,7,165.43560414278807,0.3161656306092193,7,0.980790042044758
NVIDIA A100-SXM4-80GB,float16,128,4096,14336,214.9948492000476,0.36653384475081563,5,188.49138900016743,0.19074173564985655,6,1.1406083341019713
NVIDIA A100-SXM4-80GB,float16,512,4096,14336,567.0258955559701,2.8427165779542225,18,536.3050678936002,4.007711150242603,19,1.0572823743453135
NVIDIA A100-SXM4-80GB,float16,1024,4096,14336,1102.1624780005368,7.865946829851841,10,1013.8957709987153,5.232608671502112,10,1.0870569831008137
NVIDIA A100-SXM4-80GB,float16,1,8192,28672,574.4326422220386,0.4902141824895852,18,586.0191827767064,0.45197976588492306,18,0.9802283937195232
NVIDIA A100-SXM4-80GB,float16,32,8192,28672,631.2408825010607,0.2622304443426457,16,582.0977122220938,0.2697715164144917,18,1.0844242628808283
NVIDIA A100-SXM4-80GB,float16,128,8192,28672,800.5069553858519,2.9049616085575773,13,703.3867913329838,2.2989079534921864,15,1.138075046687778
NVIDIA A100-SXM4-80GB,float16,512,8192,28672,2103.5036020039115,0.374274034342712,5,2008.7132980006568,6.477846775671546,5,1.047189563636385
NVIDIA A100-SXM4-80GB,float16,1024,8192,28672,4082.4333119999214,23.47681870828168,25,4025.0016600039085,17.609270209524276,25,1.0142687275304023
NVIDIA A100-SXM4-80GB,bfloat16,1,4096,14336,164.02172785715916,0.3169869992363978,7,150.36301814273298,0.1084264259408927,7,1.0908382252706617
NVIDIA A100-SXM4-80GB,bfloat16,32,4096,14336,191.80415183321503,0.33724824725990205,6,177.20628616658965,0.08614469046459346,6,1.0823778094017618
NVIDIA A100-SXM4-80GB,bfloat16,128,4096,14336,211.627588599913,0.9287154990326042,5,243.85807239978024,0.06074516751766681,5,0.8678309744570247
NVIDIA A100-SXM4-80GB,bfloat16,512,4096,14336,623.1556017653073,0.6853012649080877,17,541.6382826321129,3.753240192938466,19,1.1505013987140231
NVIDIA A100-SXM4-80GB,bfloat16,1024,4096,14336,1065.653599000143,4.7277173236730015,10,987.2044600011908,3.0191811569535725,11,1.0794659487243987
NVIDIA A100-SXM4-80GB,bfloat16,1,8192,28672,574.4117222229761,0.498960249023513,18,585.8504505557803,0.7117964023555409,18,0.9804750029261691
NVIDIA A100-SXM4-80GB,bfloat16,32,8192,28672,687.1637013330958,0.43066634229642636,15,598.5096911782047,0.27875555699950644,17,1.1481246025947718
NVIDIA A100-SXM4-80GB,bfloat16,128,8192,28672,936.1595618189643,0.5472121992574119,11,749.8091121422995,1.6990081848323269,14,1.2485305215139864
NVIDIA A100-SXM4-80GB,bfloat16,512,8192,28672,2109.1322079992096,8.677660642369357,5,1961.8287266697128,10.474105805526678,6,1.075084781523997
NVIDIA A100-SXM4-80GB,bfloat16,1024,8192,28672,3852.0384000094054,29.45197840772418,26,3714.1279592543906,25.226332350327187,27,1.0371313111093512
NVIDIA A100-SXM4-80GB,float32,1,4096,14336,394.8132296150456,0.362417538972907,26,387.3680953844227,0.17966251151696844,26,1.0192197920255524
NVIDIA A100-SXM4-80GB,float32,32,4096,14336,781.1903561532046,0.459196522063962,13,501.1394524990465,0.361566661469637,20,1.5588282907235105
NVIDIA A100-SXM4-80GB,float32,128,4096,14336,1826.0387150015356,0.026287329081359192,6,1725.7963150010862,0.07772446855517215,6,1.058084722472238
NVIDIA A100-SXM4-80GB,float32,512,4096,14336,6557.817587514593,0.5965867868625292,16,6468.5062750072575,0.7189372998313209,16,1.013807099925436
NVIDIA A100-SXM4-80GB,float32,1024,4096,14336,12955.431487500846,0.5178735031424984,8,13668.133837518328,29.19167062624385,8,0.9478566453555531
NVIDIA A100-SXM4-80GB,float32,1,8192,28672,1549.3309185707662,0.37235511096131735,7,1544.604995712819,0.2197206599827688,7,1.003059631990745
NVIDIA A100-SXM4-80GB,float32,32,8192,28672,2097.8014539996366,0.9147866714177229,5,1888.6492316672352,1.1643289189419916,6,1.1107416977305888
NVIDIA A100-SXM4-80GB,float32,128,8192,28672,6855.730960008562,1.3412190187981619,15,6496.87000625363,1.888178727509654,16,1.0552359756943739
NVIDIA A100-SXM4-80GB,float32,512,8192,28672,25706.958975024463,2.9013705211777046,4,25687.832549988347,0.6383552056178153,4,1.000744571384094
NVIDIA A100-SXM4-80GB,float32,1024,8192,28672,51398.927599893796,4.071786158088679,20,50630.88874994719,2.936981731893246,20,1.0151693732602594
